,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
1282,Marvin Bakalorz,Paderborn,Bundesliga,29,2180,1,1,2,1.370118504,1.791655164,1.370118504,0.056564525,0.073967415,0.056564525,M S,31,13,2,1,1.182853763,3.567926794
1283,Nélson Haedo Valdez,Eintracht Frankfurt,Bundesliga,10,514,1,1,0,2.287110165,0.699432131,2.287110165,0.40046676,0.122468661,0.40046676,F M S,15,4,2,0,0.127018895,2.908520713
1284,Immanuel Höhn,Freiburg,Bundesliga,7,540,1,1,0,0.40345329,0.032689031,0.40345329,0.067242215,0.005448172,0.067242215,D S,3,1,0,0,1.135047991,1.135047991
1285,Nikola Djurdjic,Augsburg,Bundesliga,16,630,1,1,1,1.779049136,0.914508902,1.779049136,0.254149877,0.130644129,0.254149877,F S,8,7,1,0,0.780127175,2.121308247
1286,Didier Ya Konan,Hannover 96,Bundesliga,7,309,1,1,0,0.250973068,0.149644859,0.250973068,0.073098952,0.043585881,0.073098952,F S,7,2,1,0,0.235745147,0.55072099
1287,Marc Vucinovic,Paderborn,Bundesliga,8,322,1,1,0,0.253051918,0.076732067,0.253051918,0.070728797,0.021446851,0.070728797,D M S,7,2,0,0,0.502465174,0.617026662
1288,Stefan Kutschke,Paderborn,Bundesliga,19,825,1,1,1,3.443307426,0.762128107,3.443307426,0.375633537,0.083141248,0.375633537,F S,24,10,1,0,2.06290197,4.450920129
1289,Marnon Busch,Werder Bremen,Bundesliga,9,419,1,1,0,0.188146282,0.04054245,0.188146282,0.040413283,0.008708402,0.040413283,D M S,4,1,0,0,0.878458269,1.089837261
1290,Marvin Ducksch,Paderborn,Bundesliga,9,202,1,1,0,0.557621455,1.078348186,0.557621455,0.248445203,0.480452162,0.248445203,F S,6,5,0,0,0.097103152,1.092759494
1291,Sebastian Kerk,Freiburg,Bundesliga,9,269,1,1,0,0.422649305,0.596775718,0.422649305,0.141406831,0.199664738,0.141406831,M S,6,5,1,0,0.597818894,1.019408409
1292,Sandro Wagner,Hertha Berlin,Bundesliga,15,249,0,0,0,0.143403182,0.053579681,0.143403182,0.051832475,0.01936615,0.051832475,S,4,3,2,0,0.027686749,0.155493148
1293,Konstantin Rausch,VfB Stuttgart,Bundesliga,4,71,0,0,0,0.120938636,0,0.120938636,0.153302497,0,0.153302497,S,1,0,0,0,0,0
1294,Rune Jarstein,Hertha Berlin,Bundesliga,1,90,0,0,0,0,0,0,0,0,0,GK,0,0,0,0,0,0
1295,Marvin Plattenhardt,Hertha Berlin,Bundesliga,15,1282,0,0,1,0.194955863,0.639863878,0.194955863,0.013686449,0.044920241,0.013686449,D S,3,12,1,0,0.233638946,0.403254442
1296,Per Skjelbred,Hertha Berlin,Bundesliga,26,2241,0,0,2,0.506423359,1.987121184,0.506423359,0.020338288,0.079804064,0.020338288,M,13,21,8,0,3.714305932,5.397294328
1297,Fabian Lustenberger,Hertha Berlin,Bundesliga,27,2193,0,0,0,0.238251088,0.182933781,0.238251088,0.009777746,0.007507542,0.009777746,D M S,4,5,3,1,2.177808056,2.229473045
1298,Vedad Ibisevic,VfB Stuttgart,Bundesliga,14,610,0,0,1,0.701207105,1.555999421,0.701207105,0.103456786,0.229573685,0.103456786,F S,8,8,2,0,0.623123446,1.691341987
1299,Johannes van den Bergh,Hertha Berlin,Bundesliga,6,379,0,0,0,0.026068296,0,0.026068296,0.006190361,0,0.006190361,D S,2,0,2,0,0,0.013762553
1300,Loris Karius,Mainz 05,Bundesliga,33,2911,0,0,0,0,0.018567644,0,0,0.00057406,0,GK,0,1,1,1,2.943930196,2.943930196
1301,Daniel Brosinski,Mainz 05,Bundesliga,32,2776,0,0,3,1.376365185,2.107485199,1.376365185,0.044622791,0.068326249,0.044622791,D M,21,19,4,1,5.067004364,7.946253381
1302,Pierre Bengtsson,Mainz 05,Bundesliga,13,965,0,0,1,0.185772978,0.843474977,0.185772978,0.017325977,0.07866606,0.017325977,D S,6,10,0,0,2.118331948,2.195316268
1303,Julian Baumgartlinger,Mainz 05,Bundesliga,26,2311,0,0,0,0.6693865,0.49849796,0.6693865,0.026068708,0.019413594,0.026068708,M,16,15,3,0,6.089550683,6.996747244
